Image Name,Majority Vote Label,Number of Annotators who Selected SSA (Out of 7),Partition,generated_caption
MHIST_aav.png,HP,0,train,"a histopathology slide showing the hepatius and histoathsis of the liver, with the hepatius and histo"
MHIST_aaw.png,HP,0,train,a histopathology slide showing the brain and histopothrosissis
MHIST_aax.png,HP,0,train,a histopathology slide showing the hepatius and histoidus cells in the liver
MHIST_aay.png,HP,1,test,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_aba.png,HP,0,train,"a histopathology slide showing the cells of a human cell, and a cell membrane, in purple"
MHIST_abc.png,HP,0,train,a histopathology slide showing the cells of a human cell
MHIST_abd.png,HP,0,train,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_abf.png,HP,2,train,"a histopathology slide showing the hepatitoidus and histoidus of the liver, with the hetopathosis"
MHIST_abg.png,HP,0,train,a histopathology slide showing the hepatitoidus and histoidus
MHIST_abh.png,SSA,4,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_abj.png,HP,1,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_abk.png,HP,2,train,a histopathology slide showing the number of the cells in the cell membrane
MHIST_abl.png,HP,1,train,a histopathology slide showing the brain and histopathosis
MHIST_abm.png,HP,0,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_abn.png,HP,2,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_abp.png,HP,0,train,a histopathology slide showing the hepatitoidus and histoidus
MHIST_abq.png,HP,0,train,"a histopathology slide showing the hepatius and histoathsis of the liver, with a purple and white background"
MHIST_abr.png,SSA,5,train,a histopathology slide showing the hepatius and histoidus cells in the liver
MHIST_abs.png,HP,2,test,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_abu.png,HP,1,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_abv.png,HP,0,train,"a histopathology slide showing the location of the hepatius in the hepatius, and the hepatius in the he"
MHIST_abw.png,HP,0,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_abx.png,HP,0,test,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_aby.png,HP,3,train,a histopathology slide showing the purple and white cells of the human cell
MHIST_abz.png,HP,0,train,"a histopathology slide showing the cells in the liver liver liver liver, liver liver, liver liver, liver, liver liver, liver"
MHIST_aca.png,SSA,6,train,"a histopathology slide showing the cells in the liver liver liver liver, liver liver, liver liver"
MHIST_acb.png,HP,0,test,a histopathology slide showing the brain and histoathosisal cells
MHIST_acd.png,HP,0,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_ace.png,SSA,4,train,a histopathology slide showing the location of the left hand
MHIST_acf.png,SSA,4,train,a histopathology slide showing the pattern of the hepatitoidus in the left side of the hepatitoidus
MHIST_acg.png,HP,3,test,a histopathology slide showing the purple and purple areas of the liver liver
MHIST_ach.png,HP,0,train,"a histopathology slide showing the hepatitoidus of the liver, and the hetopathosis of the liver, and"
MHIST_aci.png,HP,2,train,"a histopathology slide showing the cells of a human cell, with a number of cells in the cell"
MHIST_acj.png,HP,0,train,a histopathology slide showing the location of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_ack.png,HP,0,train,a histopathology slide showing the brain and histoathosisal cells
MHIST_acl.png,HP,0,train,a histopathology slide showing the hepatitoidus in the left side of the hetopathosis
MHIST_acm.png,SSA,5,train,a histopathology slide showing the number of the cells in the liver
MHIST_acn.png,HP,2,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_aco.png,HP,3,test,"a histopathology slide showing the hepatius and hepatius cells of the liver, and the hepatius cells of the"
MHIST_acq.png,HP,2,test,a histopathology slide showing the hepatius and histoidus cells in the liver
MHIST_acr.png,HP,3,train,a histopathology slide showing the purple and purple areas of the liver liver liver liver liver liver liver
MHIST_acs.png,HP,0,train,a histopathology slide showing the cells of the human cell
MHIST_act.png,HP,1,train,a histopathology slide showing the hepatius and histoidus cells in the liver bone bone bone bone bone bone bone bone
MHIST_acu.png,HP,0,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_acv.png,SSA,4,train,a histopathology slide showing the cells of the human cell
MHIST_acw.png,HP,0,test,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_acx.png,HP,1,train,"a histopathology slide showing the hepatitoidus in the left side of the abdomen, and the hetopathtopod"
MHIST_acy.png,HP,1,test,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_acz.png,HP,0,train,a histopathology slide showing the brain and histoathsis
MHIST_ada.png,SSA,5,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_adb.png,HP,0,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_adc.png,SSA,6,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_add.png,HP,3,test,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the hetopathosis"
MHIST_ade.png,HP,2,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_adf.png,HP,0,train,a histopathology slide showing the purple and purple areas of the liver
MHIST_adg.png,HP,0,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_adh.png,HP,2,train,"a histopathology slide showing the hepatitoidus of the liver, with a small section of the liver, and a large"
MHIST_adi.png,HP,1,train,a histopathology slide showing the cells of the liver
MHIST_adj.png,HP,2,test,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_adk.png,SSA,6,train,"a histopathology slide showing the hepatius and histoathsis of the liver, with the hepatius and histo"
MHIST_adl.png,HP,3,train,a histopathology slide showing the purple and white areas of the liver liver liver liver liver liver liver
MHIST_adm.png,HP,3,train,a histopathology slide showing the brain and histoathsise cells
MHIST_adn.png,HP,2,train,a histopathology slide showing the brain and histopathosisal cells
MHIST_ado.png,HP,3,test,a histopathology slide showing the purple and purple areas of the human brain
MHIST_adp.png,HP,0,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the hetopathsis, and hetopodrottictictictictictict"
MHIST_adq.png,HP,1,train,a histopathology slide showing the purple and purple cells of a human
MHIST_adr.png,SSA,6,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_ads.png,HP,0,train,a histopathology slide showing the pattern of the cells in the liver
MHIST_adt.png,HP,0,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_adv.png,HP,0,train,a histopathology slide showing the hepatitoidus and histoidus cells in the left side of the hetopod
MHIST_adw.png,HP,0,train,a histopathology slide showing the purple cells of the human cell
MHIST_ady.png,SSA,4,test,"a histopathology slide showing the large int in the left lung, and the large int in the left lung, and the large int"
MHIST_adz.png,HP,2,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_aea.png,HP,2,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_aeb.png,HP,0,test,"a histopathology slide showing the hepatitoidus of the liver, and the hepatitoidus of the hetop"
MHIST_aec.png,HP,2,test,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_aee.png,HP,0,test,a histopathology slide showing the pattern of the cells in the left and right cells
MHIST_aef.png,HP,2,train,a histopathology slide showing the purple and purple areas of the liver liver liver liver liver liver liver
MHIST_aeg.png,HP,2,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_aej.png,HP,3,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_aek.png,HP,1,test,a histopathology slide showing the pattern of the cell membrane
MHIST_ael.png,HP,1,train,a histopathology slide showing the location of the hepatitoidus in the liver
MHIST_aem.png,HP,1,train,a histopathology slide showing the number of the cells in the liver
MHIST_aen.png,SSA,4,train,a histopathology slide showing the purple and purple areas of the liver
MHIST_aeo.png,HP,1,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_aep.png,HP,1,test,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_aeq.png,HP,0,test,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_aer.png,HP,0,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_aes.png,HP,2,test,"a histopathology slide showing the hepatitoidus of the liver, and the hetopathosis of the hetopathsis"
MHIST_aeu.png,HP,1,train,a histopathology slide showing the brain and histopothrosissis
MHIST_aev.png,HP,0,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_aew.png,HP,1,train,"a histopathology slide showing the hepatitoidus of the liver, a hepatitoidus, and a hepati"
MHIST_aex.png,HP,1,train,a histopathology slide showing the cells of the human brain
MHIST_aey.png,HP,2,train,a histopathology slide showing the cells of a human cell
MHIST_aez.png,HP,1,test,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_afa.png,HP,2,train,a histopathology slide showing the pattern of the tissue tissue
MHIST_afb.png,HP,3,train,"a histopathology slide showing the cross section of the liver liver, with the liver, liver, liver, liver, liver, liver"
MHIST_afc.png,HP,3,test,a histopathology slide showing the number of the cells in the left side of the cell
MHIST_afd.png,HP,1,train,a histopathology slide showing the number of the cells in the left and right cells in the left cell
MHIST_afe.png,HP,1,train,a histopathology slide showing the location of the liver bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone bone
MHIST_afg.png,HP,1,test,"a histopathology slide showing the hepatius and histoathsis of the liver, with the hepatius and histo"
MHIST_afh.png,HP,0,train,a histopathology slide showing the brain and histoathosisal cells
MHIST_afi.png,SSA,4,train,a histopathology slide showing the hepatius and histoidus cells in the liver
MHIST_afj.png,HP,1,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_afl.png,HP,0,train,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_afm.png,HP,2,test,a histopathology slide showing the location of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_afn.png,HP,0,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_afo.png,HP,3,test,"a histopathology slide showing the purple and purple areas of the liver liver liver, liver liver, liver liver, liver liver, liver"
MHIST_afp.png,HP,1,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_afq.png,SSA,6,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_afr.png,HP,1,train,"a histopathology slide showing the hepatitoidus of the liver, and the hetopathosis of the liver, and"
MHIST_afs.png,HP,1,test,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_aft.png,SSA,6,train,a histopathology slide showing the tumor area of the left breast
MHIST_afu.png,HP,1,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_afv.png,HP,3,train,a histopathology slide showing the purple and purple areas of the brain
MHIST_afw.png,HP,1,train,a histopathology slide showing the location of the hepatius in the hepatius
MHIST_afx.png,HP,1,train,a histopathology slide showing the pattern of the cells
MHIST_afy.png,HP,1,train,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_afz.png,HP,0,train,a histopathology slide showing the purple and white cells of the heliosis of the heliosis
MHIST_aga.png,HP,1,train,a histopathology slide showing the hepatitoidus and histoidus
MHIST_agc.png,HP,2,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_agg.png,HP,2,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_agh.png,HP,2,test,"a histopathology slide showing the hepatitoidus in the liver, and the hepatitoidus in the liver, and the hepatitoidus, and hepatitoidus, and hetoidus"
MHIST_agk.png,HP,1,test,a histopathology slide showing the location of the hepatius in the left side of the hepatius
MHIST_agl.png,HP,2,train,"a histopathology slide showing the location of the hepatius in the hepatius, and the hepatius in the he"
MHIST_agm.png,HP,2,train,"a histopathology slide showing the cells of the liver liver, liver liver, liver liver, liver"
MHIST_agn.png,HP,1,train,a histopathology slide showing a purple stain of the cell
MHIST_ago.png,HP,2,train,"a histopathology slide showing the cells of a human cell, with a purple and white background"
MHIST_agp.png,HP,3,train,a histopathology slide showing the purple and purple cells of a human cell
MHIST_agq.png,HP,1,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_agr.png,HP,1,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_agt.png,HP,1,train,a histopathology slide showing the hepatitoidus and histopothosis
MHIST_agv.png,HP,1,train,a histopathology slide showing the hepatitoidus of the left breast
MHIST_agw.png,HP,1,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_agx.png,HP,1,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_agy.png,HP,3,test,a histopathology slide showing the hepatitoidus and histoidus of the liver
MHIST_agz.png,HP,1,train,a histopathology slide showing the location of the hepatitoidus in the liver
MHIST_aha.png,SSA,5,test,a histopathology slide showing the hepatius and histoidus cells in the liver
MHIST_ahb.png,SSA,4,test,a histopathology slide showing the purple and white areas of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_ahd.png,HP,0,test,a histopathology slide showing the purple and white cells of the liver
MHIST_ahe.png,HP,0,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_ahf.png,HP,0,train,a histopathology slide showing the hepatitoidus and histopothosis
MHIST_ahg.png,HP,0,train,a histopathology slide showing the purple and purple areas of the liver
MHIST_ahh.png,SSA,5,train,"a histopathology slide showing the hepatius and histoidus areas of the liver, with the hepatius and histoidus highlighted at the liver"
MHIST_ahi.png,HP,1,train,a histopathology slide showing the number of the cells in the left breast
MHIST_ahj.png,HP,2,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_ahm.png,HP,2,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_ahn.png,HP,1,train,"a histopathology slide showing the location of the hepatitoidus in the left side of the abdomen, and the hepati"
MHIST_aho.png,HP,1,test,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_ahp.png,HP,0,train,a histopathology slide showing the cells of the human
MHIST_ahs.png,HP,0,train,a histopathology slide showing the location of the hepatius in the hepatius
MHIST_aht.png,HP,0,train,"a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymymymus, and histoidus of the hepatius, and histoidus, and histoidus, and histoidus, histoidus, and his"
MHIST_ahv.png,HP,3,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_ahw.png,HP,1,test,"a histopathology slide showing the hepatitoidus of the liver, with a number of histopathosisal cells in"
MHIST_ahx.png,HP,1,train,a histopathology slide showing the hepatitoidus of the hepatitoidus
MHIST_ahy.png,HP,1,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_aia.png,SSA,5,train,a histopathology slide showing the number of the cells in the cell membrane
MHIST_aib.png,HP,1,train,"a histopathology slide showing the location of the hepatius in the left side of the hepatius, and the hepati"
MHIST_aic.png,HP,3,train,"a histopathology slide showing the cells in the left and right side of the cell cell cell cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell, cell"
MHIST_aid.png,HP,1,train,a histopathology slide showing the purple and white areas of the liver liver liver liver liver liver liver
MHIST_aie.png,HP,1,test,"a histopathology slide showing the cells of a human cell, with a purple circle in the middle"
MHIST_aif.png,HP,1,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_aig.png,HP,1,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_aih.png,SSA,4,train,a histopathology slide showing the purple and purple areas of the skin
MHIST_aii.png,HP,2,train,a histopathology slide showing the cells of the human
MHIST_aik.png,HP,3,train,a histopathology slide showing the structure of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_aim.png,HP,1,test,a histopathology slide showing the cells in the left and right side of the cell
MHIST_ain.png,SSA,4,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_aio.png,HP,1,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_air.png,HP,0,train,a histopathology slide showing the hepatitoidus of the liver
MHIST_ait.png,HP,2,train,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_aiv.png,HP,0,train,"a histopathology slide showing the hepatitoidus of the liver, with a number of histopathosisal cells in"
MHIST_aiw.png,HP,3,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_aix.png,HP,1,train,a histopathology slide showing the location of the hepatitoidus in the left side of the hepatitoidus
MHIST_aiy.png,HP,1,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_aiz.png,HP,1,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_aja.png,HP,3,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_ajb.png,HP,2,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_ajd.png,SSA,5,test,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_aje.png,HP,2,train,"a histopathology slide showing the pattern of the tissue tissue in the tissue is a purple, purple, and red pattern"
MHIST_ajg.png,HP,2,train,a histopathology slide showing the purple and purple areas of the skin
MHIST_ajh.png,HP,2,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_ajj.png,HP,0,train,a histopathology slide showing the blood of a patient
MHIST_ajk.png,SSA,4,train,"a histopathology slide showing the hepatitoidus of the liver, and the hepatitoidus of the hetop"
MHIST_ajl.png,HP,0,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_ajm.png,HP,0,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_ajo.png,HP,0,test,"a histopathology slide showing the location of the hepatius in the left side of the hepatius, and the hepati"
MHIST_ajp.png,HP,2,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_ajq.png,HP,3,train,a histopathology slide showing the location of the hepatitoidus in the liver
MHIST_ajs.png,HP,1,train,"a histopathology slide showing the cells of a human cell, and a sample of a human cell"
MHIST_ajt.png,HP,1,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_aju.png,HP,3,test,a histopathology slide showing the pattern of the cell membrane
MHIST_ajv.png,HP,1,train,a histopathology slide showing the pattern of the brain
MHIST_ajw.png,SSA,4,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_ajx.png,SSA,4,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_ajy.png,HP,1,test,"a histopathology slide showing the hepatius and hepatius cells of the liver, and the hepatius cells of the"
MHIST_ajz.png,HP,3,test,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_aka.png,HP,1,train,"a histopathology slide showing the hepatitoidus of the liver, and the hetopathosis of the liver, and"
MHIST_akb.png,HP,3,train,a histopathology slide showing the pattern of the cells in the liver
MHIST_akc.png,HP,1,test,a histopathology slide showing the location of the hepatitoidus in the liver bone bone bone bone bone bone bone bone bone
MHIST_akf.png,HP,2,train,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver
MHIST_akg.png,HP,1,train,a histopathology slide showing the brain and histoathosisal cells
MHIST_akj.png,HP,0,train,a histopathology slide showing the purple and purple cells of the liver
MHIST_ako.png,HP,2,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_akp.png,HP,3,test,a histopathology slide showing the purple and purple cells of the liver
MHIST_aks.png,SSA,4,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_akt.png,HP,1,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_aku.png,HP,1,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_akv.png,SSA,4,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_akw.png,SSA,4,train,a histopathology slide showing the purple and purple areas of the liver liver liver liver liver liver liver
MHIST_akz.png,HP,1,train,"a histopathology slide showing the location of the hepatius in the hepatius, and the hepatius in the he"
MHIST_alb.png,HP,1,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_alc.png,HP,0,test,a histopathology slide showing the hepatitoidus of the left breast
MHIST_ald.png,HP,0,train,a histopathology slide showing the purple and purple areas of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_alf.png,HP,0,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_alg.png,HP,2,test,a histopathology slide showing the location of the tissue in the left hand
MHIST_ali.png,HP,1,test,a histopathology slide showing the cells of the human brain
MHIST_alj.png,HP,1,train,a histopathology slide showing the cells in the tree
MHIST_alk.png,HP,0,train,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_all.png,HP,3,train,a histopathology slide showing the brain and histoathsis of a male
MHIST_alm.png,HP,0,train,a histopathology slide showing the hepatius and hepatius cells in the liver
MHIST_alo.png,HP,1,test,a histopathology slide showing the purple and purple cells of the liver
MHIST_alp.png,HP,0,train,a histopathology slide showing a purple and white pattern of the hepatitoidus
MHIST_alq.png,HP,3,train,a histopathology slide showing the cells in the left and right side of the brain
MHIST_alr.png,HP,0,test,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_als.png,HP,3,test,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_alt.png,HP,0,test,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_alu.png,HP,3,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_alv.png,HP,2,test,a histopathology slide showing the location of the hepatitoidus in the liver
MHIST_alx.png,HP,0,train,"a histopathology slide showing the hepatitoidus in the left side of the abdomen, and the hetopathtopod"
MHIST_aly.png,HP,2,train,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_alz.png,HP,0,train,"a histopathology slide showing the hepatitoidus in the liver, and the hepatitoidus in the liver, and the hepatitoidus, and hepatitoidus"
MHIST_ama.png,HP,0,train,a histopathology slide showing the cells of a human cell
MHIST_amb.png,HP,2,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_amc.png,HP,3,train,a histopathology slide showing the hepatitoidus of the liver
MHIST_amd.png,HP,1,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_ame.png,HP,1,test,a histopathology slide showing the hepatitoidus and histoidus
MHIST_amf.png,HP,3,train,a histopathology slide showing the hepatitoidus and histoidus cells in the left side of the hetopod
MHIST_amh.png,HP,0,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_ami.png,HP,0,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_amk.png,HP,0,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_aml.png,HP,0,train,a histopathology slide showing the number of the cells in the left side of the cell
MHIST_amm.png,SSA,5,test,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_amn.png,HP,0,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_amo.png,HP,1,test,a histopathology slide showing the cells of the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_amp.png,HP,2,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_amq.png,HP,1,test,"a histopathology slide showing the location of the hepatius in the hepatius, and the hepatius in the he"
MHIST_amr.png,HP,2,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_ams.png,HP,1,train,a histopathology slide showing the hepatitoidus of the liver
MHIST_amt.png,HP,3,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
MHIST_amu.png,HP,2,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_amw.png,HP,1,test,a histopathology slide showing the hepatitoidus of the hepatitoidus
MHIST_amx.png,HP,1,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_amy.png,HP,2,train,a histopathology slide showing a purple and white pattern of the cells
MHIST_amz.png,HP,1,test,a histopathology slide showing the structure of the human brain
MHIST_ana.png,HP,0,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver
